Source;Target;Relationship type;Pääluokka;Alaluokka;Tapaus_ID
400;455;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
400;668;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
400;1196;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
400;871;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
400;3261;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
400;1322;1–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
400;421;1–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
455;668;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
455;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
455;871;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
455;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
455;1322;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
455;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
668;1196;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
668;871;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
668;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
668;1322;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
668;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
1196;871;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
1196;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
1196;1322;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
1196;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
871;3261;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
871;1322;3–3;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
871;421;3–2;Maanhallinta ja nautinta;Pelto, kaski, niitty, metsä;3
