Id;Label;Arvo
6;Willhelm Afleck;
21;Henrich Andersson;Ratsuvouti
26;Pehr Andersson;
34;Kasper Armus;
46;Anders Auvinen;
71;Pehr Brahe;
83;Samuel Paldanius;Kirkkoherra (Paltamo)
91;Thomas Christersson;Vääpeli
95;Margareta Larsdotter Lappalainen;
111;Arved Eriksson;Tuomari
113;Mårten Eriksson;Kapteeni
117;Erik Ervinen;
122;Karin Larsdotter Eskelinen;
128;Pehr Eskelinen;
132;Påhl Pehrsson Eskelinen;
134;August Eskilsson;Lainlukija
141;Johan Falck;Vouti, Ylinen kihlakunta
144;Zacharias Fikz;
147;Giöding Fincke;Vouti
149;Herman Fleming;Maaherra
159;Brita Grelsdotter;
163;Erik Gyllenstierna;
169;Henrich Haatainen;
177;Jöran Hakkarainen;
187;Anders Halonen;
188;Anders Pehrsson Halonen;
200;Olof Halonen;
202;Olof Philipsson Halonen;Nimismies
203;Pehr Halonen;
205;Pehr Philipsson Halonen;
206;Philip Halonen;
207;Philip Philipsson Halonen;
225;Anders Hara;Majuri
245;Brita Nilsdotter Heilanen;
248;Bertil Heinonen;
258;Anders Heiskanen;
276;Lars Heiskanen;
289;Malin Henrichsdotter;
293;Henrich Henrichsson;Lainlukija
301;Sigfred Henrichsson;
318;Hiltulaboar;
319;Clemet Hiltunen;
332;Michel Hiltunen;
333;Michel Larsson Hiltunen;
334;Mårten Hiltunen;
357;Hans Hollander;Maantarkastaja 1561
361;Henrich Holopainen;
363;Henrich Hovinen;
372;Olof Hujanen;
374;Olof Olofsson Hujanen;
384;Huttulaboar;
385;Anders Andersson Huttunen;
386;Anders Eriksson Huttunen;
388;Anders Huttunen;
389;Anders Isaksson Huttunen;
392;Anders Pehrsson Huttunen;
400;Henrich Huttunen;
403;Henrich Larsson Huttunen;
406;Jacob Huttunen;
417;Jöns Jacobsson Huttunen;
421;Lars Huttunen;
423;Lars Olofsson Huttunen;
424;Maiko Huttunen;
425;Marcus Huttunen;
428;Mats Huttunen;
434;Olof Andersson Huttunen;
436;Olof Huttunen;
439;Olof Olofsson Huttunen;
441;Pehr Andersson Huttunen;
443;Pehr Larsson Huttunen;
455;Bertil Matsson Hynninen;Lautamies
460;Henrich Hynninen;
461;Henrich Matsson Hynninen;
468;Mats Hynninen;
476;Thomas Hyttinen;Lautamies (1644)
493;Jacob Staphansson Hyvärinen;
496;Kauppi Staphansson Hyvärinen;
498;Mats Hyvärinen;
504;Olof Hyvärinen;
507;Olof Pehrsson Hyvärinen;
509;Pehr Hyvärinen;
510;Pehr Kauppisson Hyvärinen;
512;Pehr Pehrsson Hyvärinen;
519;Staphan Pehrsson Hyvärinen;
520;Staphan Staphansson Hyvärinen;
539;Idensalmiboar;
547;Lars Ikonen;
548;Lars Påhlsson Ikonen;
552;Michel Pehrsson Ikonen;
553;Pehr Ikonen;
